MesReferencia,Energia Injetada
01JAN2018,34370.0
01FEB2018,37377.0
01MAR2018,46095.0
01APR2018,36679.0
01MAY2018,32761.0
01JUN2018,37235.0
01JUL2018,30305.0
01AUG2018,44901.0
01SEP2018,62129.0
01OCT2018,62931.0
01NOV2018,91343.0
01DEC2018,113774.0
01JAN2019,101221.0
01FEB2019,125304.0
01MAR2019,126644.0
01APR2019,127667.0
01MAY2019,86743.0
01JUN2019,76153.0
01JUL2019,118870.0
01AUG2019,137171.0
01SEP2019,176977.0
01OCT2019,194864.0
01NOV2019,201923.0
01DEC2019,288150.0
01JAN2020,342525.0
01FEB2020,317546.0
01MAR2020,373527.0
01APR2020,367275.0
01MAY2020,324729.0
01JUN2020,264790.0
01JUL2020,199313.0
01AUG2020,357832.0
01SEP2020,339092.0
01OCT2020,433312.0
01NOV2020,625696.0
01DEC2020,597034.0
01JAN2021,828099.0
01FEB2021,675509.0
01MAR2021,791641.0
01APR2021,759604.0
01MAY2021,725943.0
01JUN2021,596762.0
01JUL2021,567091.0
01AUG2021,791252.0
01SEP2021,824940.0
01OCT2021,943360.0
01NOV2021,1524188.0
01DEC2021,1587446.0
01JAN2022,1867715.0
01FEB2022,1698560.0
01MAR2022,1463632.0
01APR2022,1458639.0
01MAY2022,1269078.0
01JUN2022,1179902.0
01JUL2022,1096501.0
01AUG2022,1494831.0
01SEP2022,2531842.0
01OCT2022,2526359.0
01NOV2022,3272328.0
01DEC2022,3585337.0
01JAN2023,4146893.0
01FEB2023,3649808.0
01MAR2023,3282087.0
01APR2023,3523404.0
01MAY2023,2628413.0
01JUN2023,2560113.0
01JUL2023,1939580.0
01AUG2023,2794306.0
01SEP2023,3390260.0
01OCT2023,2827557.0
01NOV2023,3233458.0
01DEC2023,3545033.0