MesReferencia,Consumo Ativo TUSD
01JAN2018,36548836.0
01FEB2018,35336507.0
01MAR2018,34552931.0
01APR2018,33285934.0
01MAY2018,32151965.0
01JUN2018,31385145.0
01JUL2018,33156036.0
01AUG2018,32636310.0
01SEP2018,31903007.0
01OCT2018,32554131.0
01NOV2018,33468193.0
01DEC2018,33747537.0
01JAN2019,39086315.0
01FEB2019,40315315.0
01MAR2019,34284075.0
01APR2019,34075170.0
01MAY2019,32631435.0
01JUN2019,31723322.0
01JUL2019,32781427.0
01AUG2019,32799820.0
01SEP2019,32859667.0
01OCT2019,33906721.0
01NOV2019,34240540.0
01DEC2019,35091722.0
01JAN2020,41768896.0
01FEB2020,39715712.0
01MAR2020,37268925.0
01APR2020,34863267.0
01MAY2020,31746525.0
01JUN2020,33473669.0
01JUL2020,34236513.0
01AUG2020,35162370.0
01SEP2020,35840820.0
01OCT2020,34310557.0
01NOV2020,37739253.0
01DEC2020,38673081.0
01JAN2021,43675901.0
01FEB2021,39447092.0
01MAR2021,37907402.0
01APR2021,36120455.0
01MAY2021,32924715.0
01JUN2021,33384549.0
01JUL2021,35294372.0
01AUG2021,35600573.0
01SEP2021,34729974.0
01OCT2021,34044403.0
01NOV2021,35709104.0
01DEC2021,35877221.0
01JAN2022,42925364.0
01FEB2022,42194590.0
01MAR2022,39161531.0
01APR2022,33486598.0
01MAY2022,33165817.0
01JUN2022,35569886.0
01JUL2022,35364518.0
01AUG2022,35655826.0
01SEP2022,35172003.0
01OCT2022,34280211.0
01NOV2022,34258650.0
01DEC2022,38024450.0
01JAN2023,41249286.0
01FEB2023,43352706.0
01MAR2023,39827960.0
01APR2023,36971162.0
01MAY2023,32883797.0
01JUN2023,32790629.0
01JUL2023,32790944.0
01AUG2023,32609752.0
01SEP2023,32454170.0
01OCT2023,32519083.0
01NOV2023,32417865.0
01DEC2023,34494355.0